Año,Medalla_Oro
1896,11
1900,18
1904,65
1906,12
1908,34
1912,46
1920,111
1924,92
1928,48
1932,71
1936,51
1948,82
1952,77
1956,61
1960,97
1964,96
1968,100
1972,72
1976,73
1980,24
1984,190
1988,89
1992,92
1994,6
1996,157
1998,25
2000,128
2002,9
2004,115
2006,9
2008,121
2010,8
2012,139
2014,8
2016,137
