Año,Medalla_Oro
1924,0
1928,0
1932,0
1936,0
1948,4
1952,0
1956,1
1960,0
1964,0
1968,3
1972,0
1976,1
1980,0
1984,2
1988,0
1992,0
1994,0
1996,0
2000,1
2002,0
2004,0
2008,2
2010,0
2012,16
2014,0
2016,0
2020,7
